Name,Average_Score,Average_Rating
3M Company,4.0,Low Risk
ABB Ltd,4.0,Low Risk
"ACI Worldwide, Inc.",2.0,High Risk
ADT Inc.,2.0,High Risk
AECOM,2.0,High Risk
AGCO Corporation,2.8333333333333335,Medium Risk
"AMAG Pharmaceuticals, Inc.",2.0,High Risk
"AMC Entertainment Holdings, Inc.",2.0,High Risk
AMC Networks Inc.,2.0,High Risk
AT&T Inc.,3.75,Low Risk
AbbVie Inc.,3.5,Low Risk
"Acadia Healthcare Company, Inc.",2.0,High Risk
Accenture plc,4.0,Low Risk
Acco Brands Corporation,2.0,High Risk
"Advanced Disposal Services, Inc.",2.0,High Risk
"Advanced Micro Devices, Inc.",2.0,High Risk
"Air Products and Chemicals, Inc.",4.0,Low Risk
Albany International Corporation,3.0,Medium Risk
Albemarle Corporation,2.0,High Risk
Alcoa Corporation,2.0,High Risk
Alkermes plc,2.0,High Risk
Alleghany Corporation,3.0,Medium Risk
Allegheny Technologies Incorporated,2.5,High Risk
Allegiant Travel Company,2.0,High Risk
Allegion plc,3.0,Medium Risk
Alliant Energy Corporation,3.6,Low Risk
Alphabet Inc.,4.0,Low Risk
Altria Group,3.3333333333333335,Medium Risk
Ameren Corporation,3.75,Low Risk
"America Movil, S.A.B. de C.V.",4.0,Low Risk
"American Airlines Group, Inc.",2.0,High Risk
"American Axle & Manufacturing Holdings, Inc.",2.6666666666666665,Medium Risk
American States Water Company,4.0,Low Risk
Amgen Inc.,3.4,Medium Risk
"Amkor Technology, Inc.",2.0,High Risk
Amphenol Corporation,3.0,Medium Risk
Antero Resources Corporation,2.0,High Risk
"Anthem, Inc.",3.0,Medium Risk
Aon plc,3.75,Low Risk
Apache Corporation,3.4,Medium Risk
Apple Inc.,4.0,Low Risk
"Applied Materials, Inc.",4.0,Low Risk
ArcelorMittal,2.0,High Risk
Archer-Daniels-Midland Company,4.0,Low Risk
Arcos Dorados Holdings Inc.,2.25,High Risk
Armstrong World Industries Inc,2.0,High Risk
Asbury Automotive Group Inc,2.0,High Risk
"Ascena Retail Group, Inc.",2.0,High Risk
Atkore International Group Inc.,2.0,High Risk
Atlantic Power Corporation,2.0,High Risk
Atmos Energy Corporation,3.2,Medium Risk
"Autoliv, Inc.",4.0,Low Risk
Avery Dennison Corporation,3.0,Medium Risk
Avista Corporation,4.0,Low Risk
Axalta Coating Systems Ltd.,2.0,High Risk
"BCE, Inc.",2.4285714285714284,High Risk
BP p.l.c.,4.0,Low Risk
BRF S.A.,3.0,Medium Risk
Babcock,3.0,Medium Risk
"Baidu, Inc.",4.0,Low Risk
Ball Corporation,2.6,Medium Risk
Barrick Gold Corporation,3.0,Medium Risk
Baxter International Inc.,3.6,Low Risk
Baytex Energy Corp,1.5,High Risk
"Beacon Roofing Supply, Inc.",2.0,High Risk
"Beazer Homes USA, Inc.",1.1666666666666667,Highest Risk
Bed Bath & Beyond Inc.,3.0,Medium Risk
Belden Inc,2.0,High Risk
"Berry Global Group, Inc.",1.0,Highest Risk
"Bio-Rad Laboratories, Inc.",3.0,Medium Risk
BioMarin Pharmaceutical Inc.,1.0,Highest Risk
Biogen Inc.,3.5,Low Risk
Black Hills Corporation,3.0,Medium Risk
Boeing Company (The),4.0,Low Risk
Booz Allen Hamilton Holding Corporation,2.0,High Risk
BorgWarner Inc.,3.75,Low Risk
Boston Scientific Corporation,2.4,High Risk
"Bottomline Technologies, Inc.",2.0,High Risk
Boyd Gaming Corporation,1.5,High Risk
Braskem S.A.,3.0,Medium Risk
Briggs & Stratton Corporation,2.0,High Risk
"Brinker International, Inc.",2.0,High Risk
Bristol-Myers Squibb Company,4.0,Low Risk
British American Tobacco p.l.c.,4.0,Low Risk
Broadcom Inc.,4.0,Low Risk
"Broadridge Financial Solutions, Inc.",3.0,Medium Risk
Brookdale Senior Living Inc.,1.0,Highest Risk
Brookfield Asset Management Inc,3.0,Medium Risk
Brookfield Renewable Partners L.P.,2.0,High Risk
Brunswick Corporation,2.6,Medium Risk
"Builders FirstSource, Inc.",2.0,High Risk
Bunge Limited,2.2857142857142856,High Risk
"CACI International, Inc.",2.0,High Risk
"CDK Global, Inc.",3.0,Medium Risk
"CEVA, Inc.",1.3333333333333333,Highest Risk
"CF Industries Holdings, Inc.",3.0,Medium Risk
CMS Energy Corporation,2.8333333333333335,Medium Risk
"CSG Systems International, Inc.",3.0,Medium Risk
CSI Compressco LP,1.6666666666666667,High Risk
CSX Corporation,3.2857142857142856,Medium Risk
CVS Health Corporation,3.5,Low Risk
Cabot Corporation,3.0,Medium Risk
"Cadence Design Systems, Inc.",3.0,Medium Risk
Caesars Entertainment Corporation,1.0,Highest Risk
California Resources Corporation,2.0,High Risk
"Calumet Specialty Products Partners, L.P.",1.8,High Risk
Campbell Soup Company,4.0,Low Risk
Canadian National Railway Company,4.0,Low Risk
Canadian Pacific Railway Limited,3.0,Medium Risk
Canadian Solar Inc.,2.0,High Risk
"Cardinal Health, Inc.",4.0,Low Risk
Cardtronics plc,3.0,Medium Risk
Carlisle Companies Incorporated,3.0,Medium Risk
Carnival Corporation,4.0,Low Risk
Carpenter Technology Corporation,3.0,Medium Risk
"Caterpillar, Inc.",3.5,Low Risk
Celanese Corporation,2.0,High Risk
Cementos Pacasmayo S.A.A.,2.0,High Risk
Cenovus Energy Inc,2.857142857142857,Medium Risk
Centene Corporation,2.0,High Risk
Central Garden & Pet Company,2.0,High Risk
Centrus Energy Corp.,2.0,High Risk
Century Aluminum Company,1.75,High Risk
"Charles River Laboratories International, Inc.",3.0,Medium Risk
Chemed Corp.,4.0,Low Risk
Chesapeake Energy Corporation,2.4285714285714284,High Risk
Chevron Corporation,4.0,Low Risk
"Choice Hotels International, Inc.",3.0,Medium Risk
"Churchill Downs, Incorporated",2.0,High Risk
Ciena Corporation,2.0,High Risk
Cimarex Energy Co,2.75,Medium Risk
Cincinnati Bell Inc,2.0,High Risk
Cintas Corporation,4.0,Low Risk
"Clean Harbors, Inc.",2.0,High Risk
Clearwater Paper Corporation,2.0,High Risk
Cleveland-Cliffs Inc.,2.0,High Risk
Clorox Company (The),3.0,Medium Risk
Coca-Cola European Partners plc,4.0,Low Risk
"Cogent Communications Holdings, Inc.",2.0,High Risk
Colfax Corporation,2.0,High Risk
Colgate-Palmolive Company,4.0,Low Risk
Columbus McKinnon Corporation,2.0,High Risk
Comcast Corporation,3.8333333333333335,Low Risk
Commercial Metals Company,2.25,High Risk
"Commercial Vehicle Group, Inc.",2.0,High Risk
"Compass Minerals International, Inc.",2.0,High Risk
"Comstock Resources, Inc.",1.6666666666666667,High Risk
"ConAgra Brands, Inc.",3.0,Medium Risk
Concho Resources Inc.,2.2,High Risk
ConocoPhillips,3.8,Low Risk
"Consolidated Communications Holdings, Inc.",2.0,High Risk
"Continental Resources, Inc.",2.4,High Risk
Cooper Tire & Rubber Company,2.5,High Risk
"CoreLogic, Inc.",2.0,High Risk
Corning Incorporated,3.8,Low Risk
Costco Wholesale Corporation,4.0,Low Risk
Coty Inc.,2.0,High Risk
Covanta Holding Corporation,2.0,High Risk
Crane Co.,3.5,Low Risk
Cresud S.A.C.I.F. y A.,1.6666666666666667,High Risk
Crown Castle International Corporation,2.5,High Risk
Cummins Inc.,3.8333333333333335,Low Risk
DCP Midstream LP,2.5,High Risk
DENTSPLY SIRONA Inc.,3.0,Medium Risk
DISH Network Corporation,2.0,High Risk
DTE Energy Company,3.5,Low Risk
DaVita Inc.,2.0,High Risk
Dana Incorporated,3.0,Medium Risk
Danaher Corporation,4.0,Low Risk
Darling Ingredients Inc.,2.2,High Risk
Deere & Company,4.0,Low Risk
"Delta Air Lines, Inc.",2.5,High Risk
Deluxe Corporation,2.6,Medium Risk
Denbury Resources Inc.,2.0,High Risk
Devon Energy Corporation,3.5,Low Risk
"Diamondback Energy, Inc.",2.0,High Risk
Dollar General Corporation,2.6666666666666665,Medium Risk
"Dominion Energy, Inc.",4.0,Low Risk
Domtar Corporation,2.8,Medium Risk
Dover Corporation,4.0,Low Risk
Duke Energy Corporation,3.6666666666666665,Low Risk
E.W. Scripps Company (The),2.0,High Risk
ENI S.p.A.,3.8333333333333335,Low Risk
EPR Properties,2.5,High Risk
EQT Corporation,2.8333333333333335,Medium Risk
Eagle Materials Inc,2.0,High Risk
Eastman Chemical Company,3.0,Medium Risk
